Data ; Horas Trabalhadas ; Tipo Tarefa ; Descrição da Tarefa Realizada

23/OUT/2014; 2h; Revisar módulo; Revisei o módulo grafo e adicionei funções
24/OUT/2014; 3h; Codificar módulo; Rascunhei  o módulo Labirinto.c
25/OUT/2014; 2h; Codificar módulo; Rascunhei o módulo testlab.c
25/OUT/2014; 2h; Projetar módulo; Projetei diretórios de desenvolvimento, de entrega , repositório...
25/OUT/2014; 1h; Redigir Script de Teste; Rascunhei o script do módulo labirinto
30/OUT/2014; 2h; Melhoria no módulo Grafo. Implementei passeio, falta testar
31/OUT/2014; 2h; Diagnosticar problemas; Percebi que o Passeio não retornava o caminho entre dois vértices
31/OUT/2014; 3h; Estudar; Estudo do Algoritmo de DJkistra.
02/OUT/2014; 2h; Codificar Módulo; Codifiquei funções
02/OUT/2014; 2h; Redigir script de teste; Redigi um script pra testar as novas funções
02/OUT/2014; 2h; Realizar testes; Realizei um teste e diagnostiquei problemas
06/OUT/2014; 8h; Revisar módulo; Revisei documentação e assertivas.
06/OUT/2014; 1h; Revisar módulo; revisei alguns trechos de código enquanto documentava 
